Postcode,lat,Lon
1013BH,52.38528707,4.89264672
1013BJ,52.40453578,4.85756429
1013BK,52.40469489,4.86306168
1013BK,52.40290487,4.86460336
1013BL,52.40520696,4.86779513
1013BL,52.40605698,4.86403302
1013BM,52.40586830,4.87352317
1013BM,52.40598426,4.86281495
1013BN,52.40346827,4.86689695
1013BP,52.38556997,4.89277611
1013BR,52.38447742,4.89271520
1013BS,52.41165996,4.86232382
1013BT,52.40590397,4.86624118
1013BV,52.38748816,4.89268658
1013BW,52.38800491,4.88884354
1013BX,52.38930039,4.89292309
1013BZ,52.38933674,4.88391006
1013CA,52.38908970,4.88235158
1013CB,52.38935471,4.88411224
1013CC,52.38944133,4.88240593
1013CD,52.38986448,4.88260688
1013CE,52.39015956,4.88229574
1013CG,52.38670590,4.89244204
1013CH,52.38996096,4.88175325
1013CJ,52.38946994,4.88105647
1013CK,52.38963569,4.88108144
1013CL,52.39016302,4.88065483
1013CM,52.39031436,4.88023603
1013CN,52.39007217,4.88928865
1013CP,52.39000255,4.88946523
1013CR,52.39289247,4.88906516
1013CR,52.39055126,4.88806511
1013CS,52.38898695,4.88207021
1013CT,52.38776454,4.88950534
1013CW,52.38756324,4.88640841
1013CX,52.39674841,4.86502041
1013CZ,52.39677474,4.88327516
1013DA,52.38357345,4.88719103
1013DB,52.38434129,4.88633410
1013DC,52.38365539,4.88749936
1013DD,52.38432434,4.88649424
1013DE,52.38354238,4.88983191
1013DG,52.38373769,4.88977074
1013DH,52.38358522,4.88974379
1013DJ,52.38454095,4.89005563
1013DK,52.38479056,4.88997916
1013DL,52.38505937,4.89004948
1013DM,52.38486128,4.89011206
1013DN,52.38474815,4.89031371
1013DP,52.38246551,4.88887750
1013DR,52.38858841,4.87806699
1013DS,52.38874929,4.87788928
1013DT,52.39226337,4.87629527
1013DV,52.39120028,4.87739319
1013DW,52.39155851,4.87721381
1013DX,52.39231983,4.87693056
1013DZ,52.39242717,4.87627478
1013EA,52.37987995,4.89281506
1013EB,52.37994124,4.89261353
1013EC,52.38011288,4.89231138
1013EC,52.38552828,4.88763865
1013ED,52.38022405,4.89152815
1013EE,52.38037462,4.89099774
1013EG,52.38040059,4.89077724
1013EH,52.37942390,4.89400654
1013EJ,52.37970978,4.89362260
1013EK,52.37993281,4.89306053
1013EL,52.38041980,4.89262820
1013EM,52.38083887,4.89086405
1013EN,52.38111526,4.89021382
